continent,mean,median,std,min,max,count
Asia,13501.774749999999,8621.0,16084.692027883133,0.123,87143.0,420
Europe,26590.309784119105,6213.033,36842.91020183664,0.0,124192.003,1209
North America,226969.8170412371,156601.0,282251.66968048515,0.181,1132965.79,97
Oceania,21128.718363636362,26498.0,12420.991584724605,-329.07,33206.18,55
South America,26344.198132530117,806.3,36151.59101874835,0.427,126188.0,83
