continent,mean,median,std,min,max,count
Africa,73.96347368421053,34.456,119.00925666722475,0.237,491.0,19
Asia,3305.873806908032,28.963,14850.614743123628,0.0,203658.0,2403
Europe,2405.4428234800334,29.49,29530.633524690773,0.0,940190.0,8339
North America,9318.391343537416,2692.31,16332.728702178936,0.172,87960.105,294
Oceania,1984.3612378640776,310.10699999999997,3596.4801845861657,0.231,14746.0,206
South America,8587.651567615658,115.325,26719.88967615825,0.0,181108.208,562
