land_variable,mean,median,std,min,max,count,Country
Total area,86600.0,86600.0,0.0,86600.0,86600.0,15,Azerbaijan
Arable and cropland % land area,29.009733333333333,28.528,1.3708622660139693,27.797,31.444,15,Belarus
Arable land and permanent crops,58859.46666666667,57906.0,2776.536739657278,56400.0,63790.0,15,Belarus
Forest,84477.53333333334,85229.0,2720.823768815676,79279.0,87821.0,15,Belarus
Forest % land area,41.635466666666666,42.005,1.3335468745667205,39.074,43.272,15,Belarus
Land area,202896.73333333334,202898.0,54.11689288234939,202826.0,202988.0,15,Belarus
Meadows and pastures % land area,14.823066666666668,14.946,1.379506509416976,12.092,16.255,15,Belarus
Other % land area,14.531933333333333,14.379,0.7869678216934628,13.645,16.457,15,Belarus
Other areas,29484.935999999998,29165.0,1602.1924402731934,27685.01,33399.0,15,Belarus
Permanent meadows and pastures,30074.8,30326.0,2793.638774072268,24540.0,32970.0,15,Belarus
Total area,207602.0,207600.0,7.745966692414834,207600.0,207630.0,15,Belarus
Arable and cropland % land area,6.6963333333333335,6.47,0.49508638014948797,6.237,7.516,15,Tajikistan
Arable land and permanent crops,9349.266666666666,9056.0,660.0193142917071,8730.0,10432.0,15,Tajikistan
Forest,4138.293333333333,4100.0,59.7888602460674,4086.0,4248.0,15,Tajikistan
Forest % land area,2.9633333333333334,2.929,0.053909536217983584,2.919,3.061,15,Tajikistan
Land area,139648.0,139960.0,535.5531186139638,138790.0,139960.0,15,Tajikistan
Meadows and pastures % land area,27.0604,27.551,0.8903625906658135,25.329,27.92,15,Tajikistan
Other % land area,63.27966666666667,63.282,1.1587405519212162,61.512,64.621,15,Tajikistan
Other areas,88373.77333333335,88570.0,1914.6235778743526,85372.0,90444.0,15,Tajikistan
Permanent meadows and pastures,37786.666666666664,38560.0,1162.3477882941881,35450.0,38750.0,15,Tajikistan
Total area,142237.93333333332,142550.0,535.667603045377,141379.0,142550.0,15,Tajikistan
Arable and cropland % land area,4.466399999999999,4.467,0.3904776927961807,3.68,5.247,15,Peru
Arable land and permanent crops,57170.62533333334,57181.08,4997.8797929534485,47106.77,67156.89,15,Peru
Forest,743004.6466666667,744242.1,12546.703002375145,721575.3,761033.3,15,Peru
Forest % land area,58.047266666666665,58.144,0.9802449742405217,56.373,59.456,15,Peru
Land area,1280000.0,1280000.0,0.0,1280000.0,1280000.0,15,Peru
Meadows and pastures % land area,14.290333333333333,14.361,0.39665542200948534,13.584,14.688,15,Peru
Other % land area,23.196133333333332,23.044,0.44346571242345045,22.779,24.233,15,Peru
Other areas,296910.73333333334,294959.9,5676.782441875025,291570.6,310185.1,15,Peru
Permanent meadows and pastures,182914.0,183820.0,5075.42510534832,173870.0,188000.0,15,Peru
Total area,1285220.0,1285220.0,0.0,1285220.0,1285220.0,15,Peru
Arable and cropland % land area,17.849066666666666,16.904,2.1040521947174295,15.885,22.053,15,Croatia
Arable land and permanent crops,9986.333333333334,9460.0,1173.8699530470435,8890.0,12330.0,15,Croatia
Forest,19046.61866666667,19095.0,256.69054259017236,18605.0,19416.1,15,Croatia
Forest % land area,34.04173333333333,34.12,0.4490888341435112,33.277,34.696,15,Croatia
Land area,55950.53333333333,55964.0,25.359885834202984,55910.0,55980.0,15,Croatia
Meadows and pastures % land area,10.2384,10.846,5.1929628867205615,4.561,19.657,15,Croatia
Other % land area,37.870866666666664,38.735,6.7194899558423815,24.888,45.155,15,Croatia
Other areas,21189.78066666667,21677.91,3763.3538429978466,13915.0,25247.0,15,Croatia
Permanent meadows and pastures,5727.8,6070.0,2903.310824361929,2550.0,10990.0,15,Croatia
Total area,67072.4,56590.0,15370.443170486105,56540.0,88073.0,15,Croatia
Arable and cropland % land area,14.551066666666665,15.043,1.8190288015730751,11.583,17.965,15,Cyprus
Arable land and permanent crops,1344.5290666666667,1390.0,168.0821762588878,1070.3,1660.0,15,Cyprus
Forest,1711.1339999999998,1724.71,26.463968982103232,1642.6,1728.14,15,Cyprus
Forest % land area,18.5188,18.666,0.28644725268612464,17.777,18.703,15,Cyprus
Land area,9240.0,9240.0,0.0,9240.0,9240.0,15,Cyprus
Meadows and pastures % land area,0.20853333333333335,0.195,0.1097593905300308,0.108,0.465,15,Cyprus
Other % land area,66.72166666666666,66.509,1.6769866541195988,63.287,69.525,15,Cyprus
Other areas,6165.0704,6145.4,154.94889978302967,5847.75,6424.08,15,Cyprus
Permanent meadows and pastures,19.266466666666666,18.0,10.142158116824382,10.0,43.0,15,Cyprus
Total area,9250.133333333333,9250.0,0.351865775274345,9250.0,9251.0,15,Cyprus
Arable and cropland % land area,17.560333333333332,17.654,0.21029899349893869,17.141,17.777,15,Armenia
Arable land and permanent crops,4999.413333333333,5026.0,59.858569820472354,4880.0,5061.0,15,Armenia
Forest,3311.8346666666666,3311.84,18.644030782250972,3282.6,3341.03,15,Armenia
Forest % land area,11.6328,11.633,0.06545358224399482,11.53,11.735,15,Armenia
Land area,28470.0,28470.0,0.0,28470.0,28470.0,15,Armenia
Meadows and pastures % land area,36.3934,41.135,6.913851539792105,24.166,43.758,15,Armenia
Other % land area,34.41353333333333,29.642,7.043855984033855,26.832,46.782,15,Armenia
Other areas,9797.552066666665,8439.2,2005.3919468818297,7639.16,13318.97,15,Armenia
Permanent meadows and pastures,10361.2,11711.0,1968.38342664373,6880.0,12458.0,15,Armenia
Total area,29740.0,29740.0,0.0,29740.0,29740.0,15,Armenia
Arable and cropland % land area,10.568466666666666,8.303,4.216062022901511,6.225,16.233,15,Georgia
Arable land and permanent crops,7344.066666666667,5770.0,2929.713624880345,4326.0,11280.0,15,Georgia
Forest,27947.346666666668,28038.6,290.2882997166452,27547.9,28224.0,15,Georgia
Forest % land area,40.217866666666666,40.349,0.41768646249594954,39.643,40.616,15,Georgia
Land area,69490.0,69490.0,0.0,69490.0,69490.0,15,Georgia
Meadows and pastures % land area,28.036533333333335,27.918,0.26174875266906117,27.903,28.781,15,Georgia
Other % land area,21.177266666666664,23.525,3.9756242001668594,15.343,25.241,15,Georgia
Other areas,14716.053333333333,16347.8,2762.6877844040287,10662.1,17540.0,15,Georgia
Permanent meadows and pastures,19482.533333333333,19400.0,181.96462241195093,19390.0,20000.0,15,Georgia
Total area,69700.0,69700.0,0.0,69700.0,69700.0,15,Georgia
Arable and cropland % land area,11.278066666666666,10.937,0.8175907522075068,10.544,13.033,15,Kazakhstan
Arable land and permanent crops,304473.93333333335,295262.0,22071.051947441632,284654.0,351850.0,15,Kazakhstan
Forest,32109.422000000002,31585.21,1242.603971224484,30896.54,34839.19,15,Kazakhstan
Forest % land area,1.1893333333333334,1.17,0.045934217974755824,1.144,1.29,15,Kazakhstan
Land area,2699700.0,2699700.0,0.0,2699700.0,2699700.0,15,Kazakhstan
Meadows and pastures % land area,68.38326666666667,68.328,0.7075373252816164,67.433,69.523,15,Kazakhstan
Other % land area,19.14946666666667,19.164,1.0260460771237097,16.692,20.779,15,Kazakhstan
Other areas,516978.1,517372.4,27701.78535517676,450623.5,560970.4,15,Kazakhstan
Permanent meadows and pastures,1846138.5333333334,1844640.0,19102.901940605294,1820477.0,1876907.0,15,Kazakhstan
Total area,2724901.8666666667,2724902.0,0.5163977794986163,2724900.0,2724902.0,15,Kazakhstan
Arable and cropland % land area,41.27813333333334,41.009,1.613226264648691,38.934,43.323,15,Romania
Arable land and permanent crops,94886.66666666667,94390.0,3623.5394430360607,89580.0,99410.0,15,Romania
Forest,65800.91933333334,64703.0,2363.9889021327185,63665.0,69290.5,15,Romania
Forest % land area,28.623533333333334,28.145,1.0058299250346638,27.729,30.116,15,Romania
Land area,229879.33333333334,229980.0,249.6130338477185,229460.0,230170.0,15,Romania
Meadows and pastures % land area,20.271066666666666,20.371,1.1451478673495594,17.776,21.561,15,Romania
Other % land area,9.827533333333333,9.792,1.9745362879372341,7.76,13.039,15,Romania
Other areas,22594.414666666667,22529.5,4556.246114909362,17835.0,29999.5,15,Romania
Permanent meadows and pastures,46597.333333333336,46850.0,2596.7712553055107,40900.0,49580.0,15,Romania
Total area,238393.33333333334,238390.0,4.879500364747045,238390.0,238400.0,15,Romania
Arable and cropland % land area,33.929,33.504,3.0749579091195924,30.145,40.649,15,Bulgaria
Arable land and permanent crops,37097.25866666667,36371.7,3648.7428304512678,32740.0,44970.0,15,Bulgaria
Forest,36151.333333333336,36284.0,2155.998763141268,33414.0,39060.0,15,Bulgaria
Forest % land area,33.1006,33.408,2.231992441103431,30.203,35.98,15,Bulgaria
Land area,109272.66666666667,108610.0,994.9548924927377,108560.0,110630.0,15,Bulgaria
Meadows and pastures % land area,15.222733333333334,15.835,1.8847744642137902,12.608,17.735,15,Bulgaria
Other % land area,17.747799999999998,18.525,2.0320260543886457,13.553,19.576,15,Bulgaria
Other areas,19381.322,20118.0,2129.7188457238735,14994.0,21538.0,15,Bulgaria
Permanent meadows and pastures,16642.752666666667,17190.0,2133.7316342249756,13687.0,19620.0,15,Bulgaria
Total area,110996.0,111000.0,5.070925528373663,110990.0,111000.0,15,Bulgaria
Arable and cropland % land area,42.71580000000001,41.975,1.5336016990824457,41.975,45.679,15,Kiribati
Arable land and permanent crops,346.0,340.0,12.421180068162371,340.0,370.0,15,Kiribati
Forest,11.8,11.8,0.0,11.8,11.8,15,Kiribati
Forest % land area,1.457,1.457,0.0,1.457,1.457,15,Kiribati
Land area,810.0,810.0,0.0,810.0,810.0,15,Kiribati
Other % land area,55.8272,56.568,1.5336016990824497,52.864,56.568,15,Kiribati
Other areas,452.2,458.2,12.421180068162371,428.2,458.2,15,Kiribati
Total area,810.0,810.0,0.0,810.0,810.0,15,Kiribati
Arable and cropland % land area,56.77726666666667,58.289,7.970403668453388,40.738,65.602,15,Rwanda
Arable land and permanent crops,14006.933333333332,14380.0,1966.2970080355415,10050.0,16184.0,15,Rwanda
Forest,2803.3333333333335,2760.0,131.4461685942015,2660.0,3080.0,15,Rwanda
Forest % land area,11.3632,11.188,0.5329406560369948,10.782,12.485,15,Rwanda
Land area,24670.0,24670.0,0.0,24670.0,24670.0,15,Rwanda
Meadows and pastures % land area,18.792133333333332,17.835,2.6726140458538405,15.649,24.321,15,Rwanda
Other % land area,13.067266666666667,11.909,5.1179363791427095,7.521,24.929,15,Rwanda
Other areas,3223.6933333333336,2938.0,1262.6131787836268,1855.4,6150.0,15,Rwanda
Permanent meadows and pastures,4636.04,4400.0,659.2869056791582,3860.6,6000.0,15,Rwanda
Total area,26340.0,26340.0,0.0,26340.0,26340.0,15,Rwanda
Arable and cropland % land area,3.1701333333333332,3.144,0.669247537662012,2.358,4.001,15,Solomon Islands
Arable land and permanent crops,887.3333333333334,880.0,187.36773112429648,660.0,1120.0,15,Solomon Islands
Forest,25324.765333333333,25324.76,65.43214499078516,25222.4,25427.17,15,Solomon Islands
Forest % land area,90.47800000000001,90.478,0.23382899734635057,90.112,90.844,15,Solomon Islands
Land area,27990.0,27990.0,0.0,27990.0,27990.0,15,Solomon Islands
Meadows and pastures % land area,0.2644666666666666,0.286,0.0353085717368352,0.179,0.286,15,Solomon Islands
Other % land area,6.087533333333334,6.092,0.4695957025032528,5.496,6.653,15,Solomon Islands
Other areas,1703.9012666666667,1705.239,131.42286964085864,1538.401,1862.07,15,Solomon Islands
Permanent meadows and pastures,74.0,80.0,9.856107606091623,50.0,80.0,15,Solomon Islands
Total area,28900.0,28900.0,0.0,28900.0,28900.0,15,Solomon Islands
Arable and cropland % land area,0.09633333333333334,0.086,0.031121115171597068,0.065,0.168,15,Djibouti
Arable land and permanent crops,22.333333333333332,20.0,7.207800007795787,15.0,39.0,15,Djibouti
Forest,56.25553333333333,56.0,0.7319167465016241,56.0,58.733,15,Djibouti
Forest % land area,0.243,0.242,0.00295199690282455,0.242,0.253,15,Djibouti
Land area,23180.0,23180.0,0.0,23180.0,23180.0,15,Djibouti
Meadows and pastures % land area,70.69306666666667,73.339,4.597034253060285,60.397,73.339,15,Djibouti
Other % land area,28.9678,26.333,4.6154732027945204,26.239,39.297,15,Djibouti
Other areas,6714.744466666667,6104.0,1069.893482008831,6082.267,9109.0,15,Djibouti
Permanent meadows and pastures,16386.666666666668,17000.0,1065.6095952663954,14000.0,17000.0,15,Djibouti
Total area,23200.0,23200.0,0.0,23200.0,23200.0,15,Djibouti
Arable and cropland % land area,12.378666666666668,12.4,1.373285251123154,10.16,14.5,15,American Samoa
Arable land and permanent crops,24.757333333333335,24.8,2.746570502246308,20.32,29.0,15,American Samoa
Forest,175.24266666666665,175.2,2.7465705022462945,171.0,179.68,15,American Samoa
Forest % land area,87.62133333333333,87.6,1.3732852511231473,85.5,89.84,15,American Samoa
Land area,200.0,200.0,0.0,200.0,200.0,15,American Samoa
Meadows and pastures % land area,0.0,0.0,0.0,0.0,0.0,15,American Samoa
Other % land area,0.0,0.0,0.0,0.0,0.0,15,American Samoa
Other areas,0.0,0.0,0.0,0.0,0.0,15,American Samoa
Permanent meadows and pastures,0.0,0.0,0.0,0.0,0.0,15,American Samoa
Total area,200.0,200.0,0.0,200.0,200.0,15,American Samoa
Arable and cropland % land area,11.182333333333334,11.163,0.09471360338761636,11.047,11.337,15,Eswatini
Arable land and permanent crops,1923.3333333333333,1920.0,16.329931618554493,1900.0,1950.0,15,Eswatini
Forest,4817.824666666666,4817.85,108.60599028905663,4647.82,4987.7,15,Eswatini
Forest % land area,28.0106,28.011,0.6314657325845717,27.022,28.998,15,Eswatini
Land area,17200.0,17200.0,0.0,17200.0,17200.0,15,Eswatini
Meadows and pastures % land area,59.5814,60.0,0.6733325223946098,58.14,60.0,15,Eswatini
Other % land area,1.2257333333333333,1.25,0.4052100807282679,0.685,1.931,15,Eswatini
Other areas,210.842,215.05,69.6915666347084,117.85,332.18,15,Eswatini
Permanent meadows and pastures,10248.0,10320.0,115.83239122604208,10000.0,10320.0,15,Eswatini
Total area,17360.0,17360.0,0.0,17360.0,17360.0,15,Eswatini
Arable and cropland % land area,15.276066666666667,14.938,0.9799348714996078,13.609,17.751,15,Guadeloupe
Arable land and permanent crops,253.84666666666666,250.0,16.684717843697854,230.0,300.0,15,Guadeloupe
Forest,729.7037333333334,731.76,9.174449796400104,716.84,743.1,15,Guadeloupe
Forest % land area,43.91366666666667,43.864,0.4778105821148723,43.214,44.58,15,Guadeloupe
Land area,1662.0,1690.0,35.496478698597706,1620.0,1690.0,15,Guadeloupe
Meadows and pastures % land area,16.054466666666666,15.16,2.878961763916853,12.426,20.741,15,Guadeloupe
Other % land area,24.755666666666666,24.775,3.0740371237340702,20.072,30.58,15,Guadeloupe
Other areas,411.9416,403.1,56.16954338531055,325.16,516.8,15,Guadeloupe
Permanent meadows and pastures,266.508,250.0,46.560075969501106,210.0,350.0,15,Guadeloupe
Total area,1672.0,1700.0,35.496478698597706,1630.0,1700.0,15,Guadeloupe
Arable and cropland % land area,47.331066666666665,47.711,4.020379965459318,41.0,51.848,15,Togo
Arable land and permanent crops,25743.333333333332,25950.0,2186.6369045593624,22300.0,28200.0,15,Togo
Forest,12545.31,12477.48,376.98713572216326,12063.1,13337.01,15,Togo
Forest % land area,23.065466666666666,22.941,0.6930565702190613,22.179,24.521,15,Togo
Land area,54390.0,54390.0,0.0,54390.0,54390.0,15,Togo
Meadows and pastures % land area,18.386,18.386,0.0,18.386,18.386,15,Togo
Other % land area,11.217866666666668,10.963,3.3630529894017145,7.152,16.093,15,Togo
Other areas,6101.356933333333,5962.519,1829.1682096799582,3890.1,8752.988,15,Togo
Permanent meadows and pastures,10000.0,10000.0,0.0,10000.0,10000.0,15,Togo
Total area,56790.0,56790.0,0.0,56790.0,56790.0,15,Togo
Forest,0.0,0.0,0.0,0.0,0.0,15,Holy See
Forest % land area,0.0,0.0,0.0,0.0,0.0,15,Holy See
Land area,0.44,0.44,0.0,0.44,0.44,15,Holy See
Other % land area,100.0,100.0,0.0,100.0,100.0,15,Holy See
Other areas,0.44,0.44,0.0,0.44,0.44,15,Holy See
Total area,0.44,0.44,0.0,0.44,0.44,15,Holy See
Arable and cropland % land area,20.765,21.699,3.0678665225201684,17.359,25.3,15,Jamaica
Arable land and permanent crops,2248.866666666667,2350.0,332.2445026239103,1880.0,2740.0,15,Jamaica
Forest,5514.429533333333,5472.15,284.8838610363542,5210.28,6007.733,15,Jamaica
Forest % land area,50.91806666666666,50.528,2.630387083591275,48.11,55.473,15,Jamaica
Land area,10830.0,10830.0,0.0,10830.0,10830.0,15,Jamaica
Meadows and pastures % land area,21.145,21.145,0.0,21.145,21.145,15,Jamaica
Other % land area,7.1718,7.088,1.0178586907256402,5.43,9.257,15,Jamaica
Other areas,776.7038,767.65,110.2407357210314,588.04,1002.48,15,Jamaica
Permanent meadows and pastures,2290.0,2290.0,0.0,2290.0,2290.0,15,Jamaica
Total area,10990.0,10990.0,0.0,10990.0,10990.0,15,Jamaica
Arable and cropland % land area,13.0336,13.278,2.2666484004866243,10.492,16.477,15,Ethiopia
Arable land and permanent crops,141585.53333333333,149850.0,31792.11724596134,104920.0,185950.0,15,Ethiopia
Forest,180175.0,180175.0,6529.318494299386,169955.0,190395.0,15,Ethiopia
Forest % land area,16.816,15.964,1.602112266442557,15.059,19.04,15,Ethiopia
Land area,1077146.7333333334,1128553.0,65200.89303887388,1000000.0,1128631.0,15,Ethiopia
Meadows and pastures % land area,18.632933333333334,17.722,1.1553822785224865,17.721,20.0,15,Ethiopia
Other % land area,51.51806666666666,50.986,1.1496986230354107,50.084,54.143,15,Ethiopia
Other areas,555386.2066666667,575255.9,42710.49888561137,500835.0,611054.8,15,Ethiopia
Permanent meadows and pastures,200000.0,200000.0,0.0,200000.0,200000.0,15,Ethiopia
Total area,1123465.8,1136242.0,16198.057446143677,1104300.0,1136244.0,15,Ethiopia
Arable and cropland % land area,2.2510666666666665,2.257,0.32322625129127347,1.813,2.762,15,Papua New Guinea
Arable land and permanent crops,10194.0,10220.0,1464.2150505597585,8210.0,12510.0,15,Papua New Guinea
Forest,361583.48666666663,362086.1,1677.9417735796694,358222.3,363631.6,15,Papua New Guinea
Forest % land area,79.8444,79.955,0.37060178860103155,79.102,80.297,15,Papua New Guinea
Land area,452860.0,452860.0,0.0,452860.0,452860.0,15,Papua New Guinea
Meadows and pastures % land area,0.40273333333333333,0.42,0.027621075459217943,0.331,0.42,15,Papua New Guinea
Other % land area,17.501933333333334,17.5,0.10957415406059688,17.291,17.716,15,Papua New Guinea
Other areas,79259.18266666666,79249.41,496.62396962557517,78302.07,80227.7,15,Papua New Guinea
Permanent meadows and pastures,1823.3333333333333,1900.0,123.7316604977232,1500.0,1900.0,15,Papua New Guinea
Total area,462840.0,462840.0,0.0,462840.0,462840.0,15,Papua New Guinea
Arable and cropland % land area,0.47153333333333336,0.462,0.09488554508810426,0.325,0.619,15,Botswana
Arable land and permanent crops,2672.133333333333,2620.0,538.0761850819836,1840.0,3510.0,15,Botswana
Forest,167926.0,167926.0,10581.073669529005,151364.0,184488.0,15,Botswana
Forest % land area,29.630733333333335,29.631,1.8671167790651633,26.708,32.553,15,Botswana
Land area,566730.0,566730.0,0.0,566730.0,566730.0,15,Botswana
Meadows and pastures % land area,45.171,45.171,0.0,45.171,45.171,15,Botswana
Other % land area,24.726333333333333,24.873,1.8873124000117463,21.656,27.658,15,Botswana
Other areas,140131.86666666667,140964.0,10695.652106391286,122732.0,156746.0,15,Botswana
Permanent meadows and pastures,256000.0,256000.0,0.0,256000.0,256000.0,15,Botswana
Total area,581730.0,581730.0,0.0,581730.0,581730.0,15,Botswana
Arable and cropland % land area,41.75406666666667,42.119,0.91951326151135,39.382,42.519,15,El Salvador
Arable land and permanent crops,8651.466666666667,8727.0,190.51691588437788,8160.0,8810.0,15,El Salvador
Forest,6423.8,6423.8,402.49223594996215,5793.8,7053.8,15,El Salvador
Forest % land area,31.002866666666666,31.003,1.942520191719534,27.962,34.043,15,El Salvador
Land area,20720.0,20720.0,0.0,20720.0,20720.0,15,El Salvador
Meadows and pastures % land area,18.134133333333335,18.041,2.091393754914468,15.188,21.496,15,El Salvador
Other % land area,9.108733333333333,9.75,3.532688827561939,3.389,14.33,15,El Salvador
Other areas,1887.3333333333333,2020.2,731.9796900643258,702.2,2969.2,15,El Salvador
Permanent meadows and pastures,3757.4,3738.0,433.32597429648746,3147.0,4454.0,15,El Salvador
Total area,21040.0,21040.0,0.0,21040.0,21040.0,15,El Salvador
Arable and cropland % land area,12.589133333333333,12.655,0.8872520874400154,10.918,13.4,15,Cabo Verde
Arable land and permanent crops,507.3333333333333,510.0,35.750457872525764,440.0,540.0,15,Cabo Verde
Forest,395.4373333333333,418.2,68.48200258531608,226.82,460.2,15,Cabo Verde
Forest % land area,9.812266666666666,10.377,1.6993807471574833,5.628,11.419,15,Cabo Verde
Land area,4030.0,4030.0,0.0,4030.0,4030.0,15,Cabo Verde
Meadows and pastures % land area,6.203,6.203,0.0,6.203,6.203,15,Cabo Verde
Other % land area,71.39519999999999,70.764,2.548854314056741,68.978,77.25,15,Cabo Verde
Other areas,2877.2293333333337,2851.8,102.71851463842268,2779.8,3113.18,15,Cabo Verde
Permanent meadows and pastures,250.0,250.0,0.0,250.0,250.0,15,Cabo Verde
Total area,4030.0,4030.0,0.0,4030.0,4030.0,15,Cabo Verde
Arable and cropland % land area,9.446533333333333,8.659,1.9343433683466504,7.586,13.103,15,Fiji
Arable land and permanent crops,1725.8666666666666,1582.0,353.394531986695,1386.0,2394.0,15,Fiji
Forest,10532.087266666667,10532.09,597.2418588304153,9597.24,11467.0,15,Fiji
Forest % land area,57.64693333333333,57.647,3.2690675050205042,52.53,62.764,15,Fiji
Land area,18270.0,18270.0,0.0,18270.0,18270.0,15,Fiji
Meadows and pastures % land area,9.469,9.469,0.0,9.469,9.469,15,Fiji
Other % land area,23.43753333333333,24.225,1.5597191078005341,20.181,24.897,15,Fiji
Other areas,4282.046066666667,4425.91,284.97932399548574,3687.0,4548.76,15,Fiji
Permanent meadows and pastures,1730.0,1730.0,0.0,1730.0,1730.0,15,Fiji
Total area,18270.0,18270.0,0.0,18270.0,18270.0,15,Fiji
Arable and cropland % land area,25.357733333333332,25.412,0.38256362060384713,24.051,25.62,15,Albania
Arable land and permanent crops,6948.086666666667,6963.0,104.83292058363749,6590.0,7020.0,15,Albania
Forest,7808.366133333333,7807.93,67.18877542722124,7705.771,7891.875,15,Albania
Forest % land area,28.497666666666664,28.496,0.24525545477162897,28.123,28.802,15,Albania
Land area,27400.0,27400.0,0.0,27400.0,27400.0,15,Albania
Meadows and pastures % land area,16.5824,16.277,1.160059530492169,15.255,18.442,15,Albania
Other % land area,29.561866666666667,30.064,1.4226230233855557,27.573,32.384,15,Albania
Other areas,8099.9598,8237.5,389.7783446627437,7555.064,8873.15,15,Albania
Permanent meadows and pastures,4543.587333333333,4460.0,317.7974896166844,4180.0,5053.0,15,Albania
Total area,28750.0,28750.0,0.0,28750.0,28750.0,15,Albania
Arable and cropland % land area,45.43226666666667,46.384,2.6605009052181634,38.319,47.731,15,Nigeria
Arable land and permanent crops,413783.3333333333,422450.0,24231.24124721951,349000.0,434720.0,15,Nigeria
Forest,237499.00666666668,237499.0,14606.444840082784,214636.5,260361.8,15,Nigeria
Forest % land area,26.076733333333333,26.077,1.6037718695387464,23.566,28.587,15,Nigeria
Land area,910770.0,910770.0,0.0,910770.0,910770.0,15,Nigeria
Meadows and pastures % land area,27.28373333333333,27.307,0.8504124601515161,25.771,28.61,15,Nigeria
Other % land area,1.2072666666666667,0.95,0.930014935875968,0.725,4.484,15,Nigeria
Other areas,10996.3166,8649.375,8469.660428464656,6606.543,40838.24,15,Nigeria
Permanent meadows and pastures,248491.33333333334,248700.0,7746.644311909385,234710.0,260570.0,15,Nigeria
Total area,923770.0,923770.0,0.0,923770.0,923770.0,15,Nigeria
Arable and cropland % land area,31.98593333333333,31.771,0.6088148283658147,31.398,33.683,15,Tunisia
Arable land and permanent crops,49693.26666666667,49360.0,945.8484827819692,48780.0,52330.0,15,Tunisia
Forest,6800.708799999999,6815.561,168.9833050118943,6511.388,7042.6,15,Tunisia
Forest % land area,4.3774,4.387,0.10874596872659587,4.191,4.533,15,Tunisia
Land area,155360.0,155360.0,0.0,155360.0,155360.0,15,Tunisia
Meadows and pastures % land area,30.379733333333334,30.574,1.1349276545015459,28.514,31.72,15,Tunisia
Other % land area,33.257,32.795,1.4708217333955047,30.735,35.608,15,Tunisia
Other areas,51668.024,50949.6,2284.9434330347317,47750.4,55320.86,15,Tunisia
Permanent meadows and pastures,47198.0,47500.0,1763.070373767631,44300.0,49280.0,15,Tunisia
Total area,163610.0,163610.0,0.0,163610.0,163610.0,15,Tunisia
Arable and cropland % land area,33.66806666666667,33.009,3.4238676849156295,29.979,38.345,15,Sri Lanka
Arable land and permanent crops,21029.181999999997,20700.0,2039.40151578209,18800.0,23720.0,15,Sri Lanka
Forest,21559.864,21288.2,585.3026046999732,21086.6,22951.57,15,Sri Lanka
Forest % land area,34.501533333333334,34.246,0.8730993943308799,33.626,36.6,15,Sri Lanka
Land area,62488.03133333333,62710.0,381.1025027257215,61860.0,62710.0,15,Sri Lanka
Meadows and pastures % land area,7.041266666666667,7.016,0.043381145783898324,7.016,7.113,15,Sri Lanka
Other % land area,24.788999999999998,25.929,3.0325539919819575,20.346,28.063,15,Sri Lanka
Other areas,15498.985333333334,16259.8,1967.2331676888846,12586.94,17598.6,15,Sri Lanka
Permanent meadows and pastures,4400.0,4400.0,0.0,4400.0,4400.0,15,Sri Lanka
Total area,65610.0,65610.0,0.0,65610.0,65610.0,15,Sri Lanka
Arable and cropland % land area,7.4665333333333335,5.714,3.146436938748942,3.143,14.286,15,United States Virgin Islands
Arable land and permanent crops,26.133333333333333,20.0,11.012114541116373,11.0,50.0,15,United States Virgin Islands
Forest,201.01733333333334,197.6,14.21992840381145,185.76,233.19,15,United States Virgin Islands
Forest % land area,57.43353333333334,56.457,4.06287013024513,53.074,66.626,15,United States Virgin Islands
Land area,350.0,350.0,0.0,350.0,350.0,15,United States Virgin Islands
Meadows and pastures % land area,8.266666666666667,6.286,2.9684260299421465,5.714,14.286,15,United States Virgin Islands
Other % land area,26.833133333333333,32.971,9.73033540654224,4.803,35.497,15,United States Virgin Islands
Other areas,93.916,115.4,34.056452881313746,16.81,124.24,15,United States Virgin Islands
Permanent meadows and pastures,28.933333333333334,22.0,10.388638482679504,20.0,50.0,15,United States Virgin Islands
Total area,350.0,350.0,0.0,350.0,350.0,15,United States Virgin Islands
Arable and cropland % land area,17.493666666666666,16.887,2.2074665073229025,14.094,21.698,15,Martinique
Arable land and permanent crops,185.43333333333334,179.0,23.399257212468047,149.4,230.0,15,Martinique
Forest,500.0226666666667,498.25,14.371069383942753,481.1,524.9,15,Martinique
Forest % land area,47.17193333333333,47.005,1.355812063813032,45.387,49.519,15,Martinique
Land area,1060.0,1060.0,0.0,1060.0,1060.0,15,Martinique
Meadows and pastures % land area,13.691733333333334,13.208,3.269060928214853,9.434,18.585,15,Martinique
Other % land area,21.642666666666667,22.028,3.0303078030048987,17.274,26.873,15,Martinique
Other areas,229.41066666666666,233.5,32.12091540829226,183.1,284.85,15,Martinique
Permanent meadows and pastures,145.13333333333333,140.0,34.652307007649306,100.0,197.0,15,Martinique
Total area,1130.0,1130.0,0.0,1130.0,1130.0,15,Martinique
Arable and cropland % land area,1.2704666666666666,1.103,0.3889762876846766,0.919,1.791,15,Singapore
Arable land and permanent crops,8.733333333333333,7.6,2.436527583809933,6.6,12.0,15,Singapore
Forest,166.41793333333334,167.948,7.738037620063873,153.9,176.677,15,Singapore
Forest % land area,24.050133333333335,24.414,1.304332608034067,21.435,25.502,15,Singapore
Land area,692.4666666666667,695.0,18.58135265976788,670.0,718.0,15,Singapore
Other % land area,74.67926666666668,74.124,1.476800424985754,72.707,77.646,15,Singapore
Other areas,517.3154,511.777,22.53224710371465,487.139,557.5,15,Singapore
