continent,mean,median,std,min,max,count
Africa,158497.87081668613,4030.0,347603.47010296525,0.0,2381741.0,11974
Asia,231840.6646442495,2210.0,869124.8160945954,0.0,9600013.0,10260
Europe,246337.93745497311,160.0,1624370.3967549,0.0,17098250.0,7440
North America,374589.19073313725,90.0,1543338.5717266279,0.001,15634410.0,5100
Oceania,268029.7620112319,48.458,1211691.5466826658,0.0,7741220.0,2760
South America,416976.4085378531,12170.0,1247343.4782940599,0.0,8515770.0,3540
