ObjectId,ISO3,Indicator,Measure,Date,Value,Year
58,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Caribbean Sea,D01/05/1993,-15.08,1993
59,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Gulf Mexico,D01/05/1993,-25.75,1993
60,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Indian Ocean,D01/05/1993,5.87,1993
61,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Indonesian,D01/05/1993,-7.09,1993
62,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Mediterranean,D01/05/1993,-83.58,1993
63,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Nino,D01/05/1993,-4.33,1993
64,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Atlantic,D01/05/1993,-16.33,1993
65,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Pacific,D01/05/1993,-16.71,1993
66,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Sea,D01/05/1993,76.81,1993
67,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Pacific Ocean,D01/05/1993,-24.28,1993
68,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Sea Japan,D01/05/1993,-4.25,1993
69,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Sea Okhotsk,D01/05/1993,-41.09,1993
70,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Southern Ocean,D01/05/1993,-5.13,1993
71,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Tropics,D01/05/1993,-19.54,1993
72,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,World,D01/05/1993,-14.55,1993
73,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Adriatic Sea,D01/06/1993,-79.01,1993
74,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Persian Gulf,D01/06/1993,82.33,1993
75,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Yellow Sea,D01/06/1993,-37.51,1993
76,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,South China,D01/14/1993,8.0,1993
77,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Arabian Sea,D01/15/1993,30.34,1993
78,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Baltic Sea,D01/15/1993,-2.65,1993
79,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Bay Bengal,D01/15/1993,-6.43,1993
80,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Bering Sea,D01/15/1993,-40.95,1993
81,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Gulf Mexico,D01/15/1993,-18.25,1993
82,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Indian Ocean,D01/15/1993,1.87,1993
83,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Indonesian,D01/15/1993,-19.09,1993
84,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Mediterranean,D01/15/1993,-49.68,1993
85,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Nino,D01/15/1993,-7.03,1993
86,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Pacific,D01/15/1993,-43.51,1993
87,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Sea,D01/15/1993,229.71,1993
88,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Pacific Ocean,D01/15/1993,-33.18,1993
89,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Persian Gulf,D01/15/1993,-52.87,1993
90,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Sea Japan,D01/15/1993,1.55,1993
91,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Sea Okhotsk,D01/15/1993,-31.49,1993
92,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Southern Ocean,D01/15/1993,-10.33,1993
93,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Tropics,D01/15/1993,-22.74,1993
94,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,World,D01/15/1993,-19.55,1993
95,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Yellow Sea,D01/15/1993,-58.61,1993
96,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Adriatic Sea,D01/16/1993,-52.71,1993
97,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Andaman Sea,D01/16/1993,-114.94,1993
98,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Atlantic Ocean,D01/16/1993,-9.91,1993
99,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Caribbean Sea,D01/16/1993,-7.68,1993
100,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Atlantic,D01/16/1993,-8.43,1993
101,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Arabian Sea,D01/24/1993,8.64,1993
102,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Baltic Sea,D01/24/1993,379.85,1993
103,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Bay Bengal,D01/24/1993,-30.23,1993
104,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Bering Sea,D01/24/1993,-57.35,1993
105,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,South China,D01/24/1993,12.3,1993
106,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Andaman Sea,D01/25/1993,-105.74,1993
107,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Atlantic Ocean,D01/25/1993,-19.11,1993
108,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Caribbean Sea,D01/25/1993,-13.98,1993
109,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Gulf Mexico,D01/25/1993,-28.65,1993
110,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Indian Ocean,D01/25/1993,-8.43,1993
111,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Indonesian,D01/25/1993,-8.39,1993
112,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Mediterranean,D01/25/1993,-90.98,1993
113,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Nino,D01/25/1993,-11.83,1993
114,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Atlantic,D01/25/1993,-35.63,1993
115,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Pacific,D01/25/1993,-61.21,1993
116,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Sea,D01/25/1993,145.11,1993
117,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Pacific Ocean,D01/25/1993,-33.88,1993
118,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Persian Gulf,D01/25/1993,-74.97,1993
119,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Sea Japan,D01/25/1993,-96.45,1993
120,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Sea Okhotsk,D01/25/1993,-35.39,1993
121,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Southern Ocean,D01/25/1993,-13.03,1993
122,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Tropics,D01/25/1993,-24.84,1993
123,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,World,D01/25/1993,-24.95,1993
124,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Adriatic Sea,D01/26/1993,-118.91,1993
125,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Yellow Sea,D01/26/1993,-96.11,1993
126,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Baltic Sea,D02/04/1993,495.15,1993
127,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Sea,D02/04/1993,81.41,1993
128,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Adriatic Sea,D02/05/1993,-85.81,1993
129,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Andaman Sea,D02/05/1993,-158.54,1993
130,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Arabian Sea,D02/05/1993,-4.06,1993
131,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Atlantic Ocean,D02/05/1993,-23.01,1993
132,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Bay Bengal,D02/05/1993,-41.63,1993
133,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Bering Sea,D02/05/1993,-7.45,1993
134,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Gulf Mexico,D02/05/1993,-18.65,1993
135,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Indian Ocean,D02/05/1993,-19.73,1993
136,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Indonesian,D02/05/1993,24.81,1993
137,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Mediterranean,D02/05/1993,-66.28,1993
138,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Nino,D02/05/1993,-18.03,1993
139,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Atlantic,D02/05/1993,-35.73,1993
140,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Pacific,D02/05/1993,-82.41,1993
141,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Pacific Ocean,D02/05/1993,-35.68,1993
142,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Persian Gulf,D02/05/1993,-31.37,1993
143,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Sea Japan,D02/05/1993,-137.05,1993
144,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Sea Okhotsk,D02/05/1993,-37.39,1993
145,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,South China,D02/05/1993,-17.7,1993
146,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Southern Ocean,D02/05/1993,-14.03,1993
147,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Tropics,D02/05/1993,-29.44,1993
148,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,World,D02/05/1993,-29.05,1993
149,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Yellow Sea,D02/05/1993,-146.51,1993
150,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Caribbean Sea,D02/06/1993,-35.38,1993
151,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Arabian Sea,D02/13/1993,8.44,1993
152,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Baltic Sea,D02/13/1993,317.05,1993
153,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Bay Bengal,D02/13/1993,-55.83,1993
154,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Caribbean Sea,D02/13/1993,-35.18,1993
155,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Indian Ocean,D02/13/1993,-14.23,1993
156,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Mediterranean,D02/13/1993,-157.88,1993
157,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Sea,D02/13/1993,48.81,1993
158,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Pacific Ocean,D02/13/1993,-29.78,1993
159,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Sea Okhotsk,D02/13/1993,-15.59,1993
160,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,South China,D02/13/1993,-72.9,1993
161,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Andaman Sea,D02/14/1993,-190.64,1993
162,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Atlantic Ocean,D02/14/1993,-25.61,1993
163,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Bering Sea,D02/14/1993,-3.85,1993
164,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Gulf Mexico,D02/14/1993,-46.55,1993
165,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Indonesian,D02/14/1993,9.11,1993
166,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Nino,D02/14/1993,-20.83,1993
167,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Atlantic,D02/14/1993,-37.73,1993
168,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Pacific,D02/14/1993,-63.81,1993
169,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Persian Gulf,D02/14/1993,-100.57,1993
170,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Sea Japan,D02/14/1993,-122.05,1993
171,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Southern Ocean,D02/14/1993,-8.63,1993
172,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Tropics,D02/14/1993,-30.44,1993
173,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,World,D02/14/1993,-27.35,1993
174,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Yellow Sea,D02/14/1993,-105.01,1993
175,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Adriatic Sea,D02/15/1993,-188.61,1993
176,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Sea,D02/23/1993,6.31,1993
177,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,South China,D02/23/1993,-70.6,1993
178,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Arabian Sea,D02/24/1993,24.14,1993
179,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Atlantic Ocean,D02/24/1993,-24.61,1993
180,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Baltic Sea,D02/24/1993,184.75,1993
181,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Bay Bengal,D02/24/1993,-56.63,1993
182,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Bering Sea,D02/24/1993,-17.05,1993
183,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Gulf Mexico,D02/24/1993,-27.65,1993
184,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Indian Ocean,D02/24/1993,-3.53,1993
185,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Indonesian,D02/24/1993,5.01,1993
186,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Mediterranean,D02/24/1993,-134.68,1993
187,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Nino,D02/24/1993,-16.83,1993
188,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Atlantic,D02/24/1993,-51.83,1993
189,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Pacific,D02/24/1993,-57.61,1993
190,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Pacific Ocean,D02/24/1993,-23.28,1993
191,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Persian Gulf,D02/24/1993,-70.07,1993
192,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Sea Japan,D02/24/1993,-73.75,1993
193,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Sea Okhotsk,D02/24/1993,6.71,1993
194,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Southern Ocean,D02/24/1993,0.97,1993
195,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Tropics,D02/24/1993,-23.04,1993
196,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,World,D02/24/1993,-21.55,1993
197,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Yellow Sea,D02/24/1993,-133.31,1993
198,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Adriatic Sea,D02/25/1993,-127.81,1993
199,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Andaman Sea,D02/25/1993,-158.54,1993
200,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Caribbean Sea,D02/25/1993,-40.38,1993
201,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Baltic Sea,D03/05/1993,3.25,1993
202,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Sea,D03/05/1993,-116.99,1993
