ObjectId,ISO3,Indicator,Unit,Date,Value,Year
59,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M02,317.7,1961
60,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M02,0.23,1961
61,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M03,318.54,1961
62,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M03,0.3,1961
63,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M04,319.48,1961
64,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M04,0.14,1961
65,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M05,320.58,1961
66,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M05,0.17,1961
67,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M06,319.77,1961
68,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M06,0.06,1961
69,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M07,318.57,1961
70,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M07,0.12,1961
71,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M08,316.79,1961
72,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M08,0.28,1961
73,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M09,314.99,1961
74,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M09,0.26,1961
75,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M10,315.31,1961
76,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M10,0.47,1961
77,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M11,316.1,1961
78,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M11,0.35,1961
79,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M12,317.01,1961
80,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M12,0.26,1961
81,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M01,317.94,1962
82,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M01,0.33,1962
83,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M02,318.55,1962
84,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M02,0.27,1962
85,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M03,319.68,1962
86,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M03,0.36,1962
87,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M04,320.57,1962
88,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M04,0.34,1962
89,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M05,321.02,1962
90,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M05,0.14,1962
91,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M06,320.62,1962
92,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M06,0.27,1962
93,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M07,319.61,1962
94,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M07,0.33,1962
95,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M08,317.4,1962
96,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M08,0.19,1962
97,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M09,316.25,1962
98,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M09,0.4,1962
99,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M10,315.42,1962
100,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M10,0.03,1962
101,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M11,316.69,1962
102,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M11,0.19,1962
103,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M12,317.7,1962
104,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M12,0.22,1962
105,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M01,318.74,1963
106,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M01,0.25,1963
107,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M02,319.07,1963
108,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M02,0.16,1963
109,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M03,319.86,1963
110,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M03,0.06,1963
111,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M04,321.38,1963
112,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M04,0.25,1963
113,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M05,322.25,1963
114,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M05,0.38,1963
115,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M06,321.48,1963
116,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M06,0.27,1963
117,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M07,319.74,1963
118,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M07,0.04,1963
119,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M08,317.77,1963
120,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M08,0.12,1963
121,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M09,316.21,1963
122,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M09,-0.01,1963
123,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M10,315.99,1963
124,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M10,0.18,1963
125,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M11,317.07,1963
126,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M11,0.12,1963
127,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M12,318.35,1963
128,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M12,0.2,1963
129,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M01,319.57,1964
130,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M01,0.26,1964
131,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M02,320.01,1964
132,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M02,0.29,1964
133,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M03,320.74,1964
134,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M03,0.28,1964
135,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M04,321.84,1964
