Country,Variable,Year,Unit,PowerCode Code,PowerCode,Value,Flags
Australia,Public water supply for electricity,2019,Cubic metres,6,Millions,17.11,
Australia,Public water supply for electricity,2020,Cubic metres,6,Millions,14.843,
Australia,Public water supply for electricity,2021,Cubic metres,6,Millions,14.173,
Australia,Public water supply for households,2009,Cubic metres,6,Millions,1615.0,
Australia,Public water supply for households,2010,Cubic metres,6,Millions,1663.0,
Australia,Public water supply for households,2011,Cubic metres,6,Millions,1555.0,
Australia,Public water supply for households,2012,Cubic metres,6,Millions,1587.0,
Australia,Public water supply for households,2013,Cubic metres,6,Millions,1683.0,
Australia,Public water supply for households,2014,Cubic metres,6,Millions,1713.0,
Australia,Public water supply for households,2015,Cubic metres,6,Millions,1682.011,Break
Australia,Public water supply for households,2016,Cubic metres,6,Millions,1738.415,
Australia,Public water supply for households,2017,Cubic metres,6,Millions,1713.704,
Australia,Public water supply for households,2018,Cubic metres,6,Millions,1788.645,
Australia,Public water supply for households,2019,Cubic metres,6,Millions,1801.924,
Australia,Public water supply for households,2020,Cubic metres,6,Millions,1800.872,
Australia,Public water supply for households,2021,Cubic metres,6,Millions,1793.7,
Australia,Self- and other supply ,2009,Cubic metres,6,Millions,11167.0,
Australia,Self- and other supply ,2010,Cubic metres,6,Millions,10653.0,
Australia,Self- and other supply ,2011,Cubic metres,6,Millions,10757.0,
Australia,Self- and other supply ,2012,Cubic metres,6,Millions,11668.0,
Australia,Self- and other supply ,2013,Cubic metres,6,Millions,14746.0,
Australia,Self- and other supply ,2014,Cubic metres,6,Millions,14061.0,
Australia,Self- and other supply ,2015,Cubic metres,6,Millions,13545.763,Break
Australia,Self- and other supply ,2016,Cubic metres,6,Millions,12243.346,
Australia,Self- and other supply ,2017,Cubic metres,6,Millions,13219.298,
Australia,Self- and other supply ,2018,Cubic metres,6,Millions,13931.309,
Australia,Self- and other supply ,2019,Cubic metres,6,Millions,11632.003,
Australia,Self- and other supply ,2020,Cubic metres,6,Millions,9692.24,
Australia,Self- and other supply ,2021,Cubic metres,6,Millions,12693.643,
Australia,Self- and other supply - Households,2009,Cubic metres,6,Millions,201.0,
Australia,Self- and other supply - Households,2010,Cubic metres,6,Millions,178.0,
Australia,Self- and other supply - Households,2011,Cubic metres,6,Millions,140.0,
Australia,Self- and other supply - Households,2012,Cubic metres,6,Millions,137.0,
Australia,Self- and other supply - Households,2013,Cubic metres,6,Millions,157.0,
Australia,Self- and other supply - Households,2014,Cubic metres,6,Millions,154.0,
Australia,Self- and other supply - Households,2015,Cubic metres,6,Millions,140.0,Break
Australia,Self- and other supply - Households,2016,Cubic metres,6,Millions,146.0,
Australia,Self- and other supply - Households,2017,Cubic metres,6,Millions,145.0,
Australia,Self- and other supply for electricity production and distribution,2009,Cubic metres,6,Millions,364.0,
Australia,Self- and other supply for electricity production and distribution,2010,Cubic metres,6,Millions,296.0,
Australia,Self- and other supply for electricity production and distribution,2011,Cubic metres,6,Millions,293.0,
Australia,Self- and other supply for electricity production and distribution,2012,Cubic metres,6,Millions,379.0,
Australia,Self- and other supply for electricity production and distribution,2013,Cubic metres,6,Millions,334.0,
Australia,Self- and other supply for electricity production and distribution,2014,Cubic metres,6,Millions,348.0,
Australia,Self- and other supply for electricity production and distribution,2015,Cubic metres,6,Millions,162.819,Break
Australia,Self- and other supply for electricity production and distribution,2016,Cubic metres,6,Millions,143.201,
Australia,Self- and other supply for electricity production and distribution,2017,Cubic metres,6,Millions,197.615,
Australia,Self- and other supply for electricity production and distribution,2018,Cubic metres,6,Millions,188.78,
Australia,Self- and other supply for electricity production and distribution,2019,Cubic metres,6,Millions,172.767,
Australia,Self- and other supply for electricity production and distribution,2020,Cubic metres,6,Millions,236.101,
Australia,Self- and other supply for electricity production and distribution,2021,Cubic metres,6,Millions,304.743,
Australia,"Self- and other supply for agriculture, fishing and forestry",2009,Cubic metres,6,Millions,7406.0,
Australia,"Self- and other supply for agriculture, fishing and forestry",2010,Cubic metres,6,Millions,7195.0,
Australia,"Self- and other supply for agriculture, fishing and forestry",2011,Cubic metres,6,Millions,7415.0,
Australia,"Self- and other supply for agriculture, fishing and forestry",2012,Cubic metres,6,Millions,9371.0,
Australia,"Self- and other supply for agriculture, fishing and forestry",2013,Cubic metres,6,Millions,12450.0,
Australia,"Self- and other supply for agriculture, fishing and forestry",2014,Cubic metres,6,Millions,11728.0,
Australia,"Self- and other supply for agriculture, fishing and forestry",2015,Cubic metres,6,Millions,10076.105,Break
Australia,"Self- and other supply for agriculture, fishing and forestry",2016,Cubic metres,6,Millions,9067.544,
Australia,"Self- and other supply for agriculture, fishing and forestry",2017,Cubic metres,6,Millions,10178.353,
Australia,"Self- and other supply for agriculture, fishing and forestry",2018,Cubic metres,6,Millions,10848.286,
Australia,"Self- and other supply for agriculture, fishing and forestry",2019,Cubic metres,6,Millions,8516.835,
Australia,"Self- and other supply for agriculture, fishing and forestry",2020,Cubic metres,6,Millions,6656.389,
Australia,"Self- and other supply for agriculture, fishing and forestry",2021,Cubic metres,6,Millions,9319.28,
Australia,Self- and other supply for total manufacturing,2009,Cubic metres,6,Millions,343.0,
Australia,Self- and other supply for total manufacturing,2010,Cubic metres,6,Millions,328.0,
Australia,Self- and other supply for total manufacturing,2011,Cubic metres,6,Millions,351.0,
Australia,Self- and other supply for total manufacturing,2012,Cubic metres,6,Millions,271.0,
Australia,Self- and other supply for total manufacturing,2013,Cubic metres,6,Millions,280.0,
Australia,Self- and other supply for total manufacturing,2014,Cubic metres,6,Millions,285.0,
Australia,Self- and other supply for total manufacturing,2015,Cubic metres,6,Millions,300.289,Break
Australia,Self- and other supply for total manufacturing,2016,Cubic metres,6,Millions,293.4,
