country,continent,h20_variable,year,h20_unit,h20_powercode_code,h20_powercode,h20_value,h20_flags
Australia,Oceania,"Public water supply for agriculture, forestry and fishing",2019,Cubic metres,6,Millions,673.973,
Australia,Oceania,"Public water supply for agriculture, forestry and fishing",2020,Cubic metres,6,Millions,642.874,
Australia,Oceania,"Public water supply for agriculture, forestry and fishing",2021,Cubic metres,6,Millions,644.711,
Australia,Oceania,Public water supply for mining and quarrying,2009,Cubic metres,6,Millions,72.0,
Australia,Oceania,Public water supply for mining and quarrying,2010,Cubic metres,6,Millions,36.0,
Australia,Oceania,Public water supply for mining and quarrying,2011,Cubic metres,6,Millions,34.0,
Australia,Oceania,Public water supply for mining and quarrying,2012,Cubic metres,6,Millions,44.0,
Australia,Oceania,Public water supply for mining and quarrying,2013,Cubic metres,6,Millions,37.0,
Australia,Oceania,Public water supply for mining and quarrying,2014,Cubic metres,6,Millions,39.0,
Australia,Oceania,Public water supply for mining and quarrying,2015,Cubic metres,6,Millions,35.011,Break
Australia,Oceania,Public water supply for mining and quarrying,2016,Cubic metres,6,Millions,37.428,
Australia,Oceania,Public water supply for mining and quarrying,2017,Cubic metres,6,Millions,40.692,
Australia,Oceania,Public water supply for mining and quarrying,2018,Cubic metres,6,Millions,43.757,
Australia,Oceania,Public water supply for mining and quarrying,2019,Cubic metres,6,Millions,49.585,
Australia,Oceania,Public water supply for mining and quarrying,2020,Cubic metres,6,Millions,57.561,
Australia,Oceania,Public water supply for mining and quarrying,2021,Cubic metres,6,Millions,46.709,
Australia,Oceania,Public water supply for total manufacturing,2009,Cubic metres,6,Millions,297.0,
Australia,Oceania,Public water supply for total manufacturing,2010,Cubic metres,6,Millions,328.0,
Australia,Oceania,Public water supply for total manufacturing,2011,Cubic metres,6,Millions,291.0,
Australia,Oceania,Public water supply for total manufacturing,2012,Cubic metres,6,Millions,276.0,
Australia,Oceania,Public water supply for total manufacturing,2013,Cubic metres,6,Millions,265.0,
Australia,Oceania,Public water supply for total manufacturing,2014,Cubic metres,6,Millions,279.0,
Australia,Oceania,Public water supply for total manufacturing,2015,Cubic metres,6,Millions,237.089,Break
Australia,Oceania,Public water supply for total manufacturing,2016,Cubic metres,6,Millions,226.519,
Australia,Oceania,Public water supply for total manufacturing,2017,Cubic metres,6,Millions,230.836,
Australia,Oceania,Public water supply for total manufacturing,2018,Cubic metres,6,Millions,226.634,
Australia,Oceania,Public water supply for total manufacturing,2019,Cubic metres,6,Millions,228.637,
Australia,Oceania,Public water supply for total manufacturing,2020,Cubic metres,6,Millions,229.083,
Australia,Oceania,Public water supply for total manufacturing,2021,Cubic metres,6,Millions,211.163,
Australia,Oceania,Public water supply for electricity,2009,Cubic metres,6,Millions,54.0,
Australia,Oceania,Public water supply for electricity,2010,Cubic metres,6,Millions,48.0,
Australia,Oceania,Public water supply for electricity,2011,Cubic metres,6,Millions,44.0,
Australia,Oceania,Public water supply for electricity,2012,Cubic metres,6,Millions,55.0,
Australia,Oceania,Public water supply for electricity,2013,Cubic metres,6,Millions,43.0,
Australia,Oceania,Public water supply for electricity,2014,Cubic metres,6,Millions,41.0,
Australia,Oceania,Public water supply for electricity,2015,Cubic metres,6,Millions,31.198,Break
Australia,Oceania,Public water supply for electricity,2016,Cubic metres,6,Millions,30.42,
Australia,Oceania,Public water supply for electricity,2017,Cubic metres,6,Millions,25.404,
Australia,Oceania,Public water supply for electricity,2018,Cubic metres,6,Millions,17.236,
Australia,Oceania,Public water supply for electricity,2019,Cubic metres,6,Millions,17.11,
Australia,Oceania,Public water supply for electricity,2020,Cubic metres,6,Millions,14.843,
Australia,Oceania,Public water supply for electricity,2021,Cubic metres,6,Millions,14.173,
Australia,Oceania,Public water supply for households,2009,Cubic metres,6,Millions,1615.0,
Australia,Oceania,Public water supply for households,2010,Cubic metres,6,Millions,1663.0,
Australia,Oceania,Public water supply for households,2011,Cubic metres,6,Millions,1555.0,
