ObjectId,country,continent,h20_variable,year,h20_unit,h20_powercode_code,h20_powercode,h20_value,h20_flags
839273118,Netherlands,Europe,Total gross abstraction non-freshwater,2019,Cubic metres,6,Millions,6249.0,
621888654,Netherlands,Europe,Total gross abstraction non-freshwater,2020,Cubic metres,6,Millions,5919.2,
805852128,Poland,Europe,Total gross abstraction non-freshwater,2003,Cubic metres,6,Millions,265.0,
859145686,Poland,Europe,Total gross abstraction non-freshwater,2004,Cubic metres,6,Millions,279.0,
244256095,Poland,Europe,Total gross abstraction non-freshwater,2005,Cubic metres,6,Millions,316.0,
310573646,Poland,Europe,Total gross abstraction non-freshwater,2006,Cubic metres,6,Millions,312.0,
380039451,Poland,Europe,Total gross abstraction non-freshwater,2007,Cubic metres,6,Millions,309.0,
730337387,Poland,Europe,Total gross abstraction non-freshwater,2008,Cubic metres,6,Millions,296.0,
794271224,Poland,Europe,Total gross abstraction non-freshwater,2009,Cubic metres,6,Millions,209.0,
249625531,Poland,Europe,Total gross abstraction non-freshwater,2010,Cubic metres,6,Millions,250.0,
141900859,Poland,Europe,Total gross abstraction non-freshwater,2011,Cubic metres,6,Millions,283.0,
712992888,Poland,Europe,Total gross abstraction non-freshwater,2012,Cubic metres,6,Millions,309.0,
790479079,Poland,Europe,Total gross abstraction non-freshwater,2013,Cubic metres,6,Millions,264.0,
680652991,Poland,Europe,Total gross abstraction non-freshwater,2014,Cubic metres,6,Millions,280.0,
72400229,Poland,Europe,Total gross abstraction non-freshwater,2015,Cubic metres,6,Millions,284.0,
985663876,Poland,Europe,Total gross abstraction non-freshwater,2016,Cubic metres,6,Millions,281.0,
117903011,Poland,Europe,Total gross abstraction non-freshwater,2017,Cubic metres,6,Millions,260.0,
686036538,Poland,Europe,Total gross abstraction non-freshwater,2018,Cubic metres,6,Millions,237.0,
453024580,Poland,Europe,Total gross abstraction non-freshwater,2019,Cubic metres,6,Millions,225.0,
480656265,Poland,Europe,Total gross abstraction non-freshwater,2020,Cubic metres,6,Millions,233.0,
731868074,Poland,Europe,Total gross abstraction non-freshwater,2021,Cubic metres,6,Millions,230.75,
634453583,Spain,Europe,Total gross abstraction non-freshwater,1997,Cubic metres,6,Millions,117.5,
421969667,Spain,Europe,Total gross abstraction non-freshwater,1998,Cubic metres,6,Millions,129.6,
761652917,Spain,Europe,Total gross abstraction non-freshwater,1999,Cubic metres,6,Millions,140.3,
110926562,Spain,Europe,Total gross abstraction non-freshwater,2000,Cubic metres,6,Millions,138.0,
983420799,Spain,Europe,Total gross abstraction non-freshwater,2001,Cubic metres,6,Millions,132.0,
225386202,Spain,Europe,Total gross abstraction non-freshwater,2002,Cubic metres,6,Millions,140.0,
547631906,Spain,Europe,Total gross abstraction non-freshwater,2003,Cubic metres,6,Millions,144.0,
244341783,Spain,Europe,Total gross abstraction non-freshwater,2004,Cubic metres,6,Millions,162.0,
808131506,Spain,Europe,Total gross abstraction non-freshwater,2005,Cubic metres,6,Millions,169.0,
410248840,Spain,Europe,Total gross abstraction non-freshwater,2006,Cubic metres,6,Millions,181.0,
467302620,Spain,Europe,Total gross abstraction non-freshwater,2007,Cubic metres,6,Millions,259.0,
366413755,Spain,Europe,Total gross abstraction non-freshwater,2008,Cubic metres,6,Millions,244.0,
713714626,Spain,Europe,Total gross abstraction non-freshwater,2009,Cubic metres,6,Millions,231.0,
779444703,Spain,Europe,Total gross abstraction non-freshwater,2010,Cubic metres,6,Millions,242.0,
314215058,Spain,Europe,Total gross abstraction non-freshwater,2011,Cubic metres,6,Millions,223.0,
191179760,Spain,Europe,Total gross abstraction non-freshwater,2012,Cubic metres,6,Millions,217.0,
170137789,Spain,Europe,Total gross abstraction non-freshwater,2013,Cubic metres,6,Millions,206.0,
230167690,Spain,Europe,Total gross abstraction non-freshwater,2014,Cubic metres,6,Millions,196.0,
691573290,Spain,Europe,Total gross abstraction non-freshwater,2015,Cubic metres,6,Millions,162.0,
684588568,Spain,Europe,Total gross abstraction non-freshwater,2016,Cubic metres,6,Millions,155.0,
757946130,Spain,Europe,Total gross abstraction non-freshwater,2017,Cubic metres,6,Millions,151.0,
209316235,Spain,Europe,Total gross abstraction non-freshwater,2018,Cubic metres,6,Millions,149.0,
995438308,Spain,Europe,Total gross abstraction non-freshwater,2019,Cubic metres,6,Millions,147.1,
254978457,Spain,Europe,Total gross abstraction non-freshwater,2020,Cubic metres,6,Millions,144.4,
674359008,Sweden,Europe,Total gross abstraction non-freshwater,1995,Cubic metres,6,Millions,9243.0,
830564003,Sweden,Europe,Total gross abstraction non-freshwater,1996,Cubic metres,6,Millions,9243.0,
975966404,Sweden,Europe,Total gross abstraction non-freshwater,1997,Cubic metres,6,Millions,9243.0,
582765870,Sweden,Europe,Total gross abstraction non-freshwater,1998,Cubic metres,6,Millions,9243.0,
977404887,Sweden,Europe,Total gross abstraction non-freshwater,1999,Cubic metres,6,Millions,9243.0,
630184308,Sweden,Europe,Total gross abstraction non-freshwater,2000,Cubic metres,6,Millions,9204.0,
292920233,Sweden,Europe,Total gross abstraction non-freshwater,2005,Cubic metres,6,Millions,11832.0,
664121737,Sweden,Europe,Total gross abstraction non-freshwater,2010,Cubic metres,6,Millions,11800.0,
530651963,Sweden,Europe,Total gross abstraction non-freshwater,2015,Cubic metres,6,Millions,10700.0,
529643136,Sweden,Europe,Total gross abstraction non-freshwater,2020,Cubic metres,6,Millions,9270.0,
216445776,United States,North America,Total gross abstraction non-freshwater,1995,Cubic metres,6,Millions,84009.015,
870844535,United States,North America,Total gross abstraction non-freshwater,2000,Cubic metres,6,Millions,87960.105,
420833812,United States,North America,Total gross abstraction non-freshwater,2005,Cubic metres,6,Millions,84299.13,Estimated value
460804550,Estonia,Europe,Total gross abstraction non-freshwater,1999,Cubic metres,6,Millions,5.6,
616192242,Estonia,Europe,Total gross abstraction non-freshwater,2000,Cubic metres,6,Millions,16.0,
283309653,Estonia,Europe,Total gross abstraction non-freshwater,2001,Cubic metres,6,Millions,25.0,
647805892,Estonia,Europe,Total gross abstraction non-freshwater,2002,Cubic metres,6,Millions,23.0,
669886057,Estonia,Europe,Total gross abstraction non-freshwater,2003,Cubic metres,6,Millions,22.0,
920052124,Estonia,Europe,Total gross abstraction non-freshwater,2004,Cubic metres,6,Millions,23.0,
94149493,Estonia,Europe,Total gross abstraction non-freshwater,2005,Cubic metres,6,Millions,6.0,
237526166,Estonia,Europe,Total gross abstraction non-freshwater,2006,Cubic metres,6,Millions,4.0,
943499595,Estonia,Europe,Total gross abstraction non-freshwater,2007,Cubic metres,6,Millions,4.0,
715049546,Estonia,Europe,Total gross abstraction non-freshwater,2008,Cubic metres,6,Millions,4.0,
888064826,Estonia,Europe,Total gross abstraction non-freshwater,2009,Cubic metres,6,Millions,4.0,
716399866,Estonia,Europe,Total gross abstraction non-freshwater,2010,Cubic metres,6,Millions,4.0,
218880994,Estonia,Europe,Total gross abstraction non-freshwater,2011,Cubic metres,6,Millions,4.0,
879103242,Estonia,Europe,Total gross abstraction non-freshwater,2012,Cubic metres,6,Millions,5.0,
710482891,Estonia,Europe,Total gross abstraction non-freshwater,2013,Cubic metres,6,Millions,5.0,
674369249,Estonia,Europe,Total gross abstraction non-freshwater,2014,Cubic metres,6,Millions,4.0,
842932473,Estonia,Europe,Total gross abstraction non-freshwater,2015,Cubic metres,6,Millions,4.0,
334690333,Estonia,Europe,Total gross abstraction non-freshwater,2016,Cubic metres,6,Millions,4.0,
663188971,Estonia,Europe,Total gross abstraction non-freshwater,2017,Cubic metres,6,Millions,4.0,
44202876,Estonia,Europe,Total gross abstraction non-freshwater,2018,Cubic metres,6,Millions,3.0,
429597571,Estonia,Europe,Total gross abstraction non-freshwater,2019,Cubic metres,6,Millions,2.0,
567431563,Estonia,Europe,Total gross abstraction non-freshwater,2020,Cubic metres,6,Millions,5.0,
162878599,Estonia,Europe,Total gross abstraction non-freshwater,2021,Cubic metres,6,Millions,6.061,
826104677,United Kingdom,Europe,Total gross abstraction non-freshwater,2005,Cubic metres,6,Millions,8092.0,
591230641,United Kingdom,Europe,Total gross abstraction non-freshwater,2006,Cubic metres,6,Millions,8974.0,
471962813,United Kingdom,Europe,Total gross abstraction non-freshwater,2007,Cubic metres,6,Millions,8984.0,
124522541,United Kingdom,Europe,Total gross abstraction non-freshwater,2008,Cubic metres,6,Millions,7408.0,
466644956,United Kingdom,Europe,Total gross abstraction non-freshwater,2009,Cubic metres,6,Millions,7654.0,
43716798,United Kingdom,Europe,Total gross abstraction non-freshwater,2010,Cubic metres,6,Millions,7473.4,
626451269,United Kingdom,Europe,Total gross abstraction non-freshwater,2011,Cubic metres,6,Millions,7893.0,
811748911,United Kingdom,Europe,Total gross abstraction non-freshwater,2012,Cubic metres,6,Millions,8504.0,
236699484,Latvia,Europe,Total gross abstraction non-freshwater,1995,Cubic metres,6,Millions,0.0,
612752390,Latvia,Europe,Total gross abstraction non-freshwater,2000,Cubic metres,6,Millions,0.0,
357210277,Latvia,Europe,Total gross abstraction non-freshwater,2001,Cubic metres,6,Millions,0.0,
605933031,Latvia,Europe,Total gross abstraction non-freshwater,2002,Cubic metres,6,Millions,0.0,
474246129,Latvia,Europe,Total gross abstraction non-freshwater,2003,Cubic metres,6,Millions,0.0,
991333160,Latvia,Europe,Total gross abstraction non-freshwater,2004,Cubic metres,6,Millions,0.0,
742490788,Latvia,Europe,Total gross abstraction non-freshwater,2005,Cubic metres,6,Millions,0.0,
409904592,Latvia,Europe,Total gross abstraction non-freshwater,2006,Cubic metres,6,Millions,0.0,
452741827,Latvia,Europe,Total gross abstraction non-freshwater,2007,Cubic metres,6,Millions,0.0,
223073936,Latvia,Europe,Total gross abstraction non-freshwater,2008,Cubic metres,6,Millions,0.0,
463062242,Latvia,Europe,Total gross abstraction non-freshwater,2009,Cubic metres,6,Millions,0.0,
194231957,Latvia,Europe,Total gross abstraction non-freshwater,2010,Cubic metres,6,Millions,0.0,
169740542,Latvia,Europe,Total gross abstraction non-freshwater,2011,Cubic metres,6,Millions,0.0,
600661693,Latvia,Europe,Total gross abstraction non-freshwater,2012,Cubic metres,6,Millions,0.0,
445477750,Latvia,Europe,Total gross abstraction non-freshwater,2013,Cubic metres,6,Millions,0.0,
891420792,Latvia,Europe,Total gross abstraction non-freshwater,2014,Cubic metres,6,Millions,0.0,
707340241,Latvia,Europe,Total gross abstraction non-freshwater,2015,Cubic metres,6,Millions,0.0,
496010556,Latvia,Europe,Total gross abstraction non-freshwater,2016,Cubic metres,6,Millions,0.0,
543634162,Latvia,Europe,Total gross abstraction non-freshwater,2017,Cubic metres,6,Millions,0.0,
625045797,Latvia,Europe,Total gross abstraction non-freshwater,2018,Cubic metres,6,Millions,0.0,
737104436,Latvia,Europe,Total gross abstraction non-freshwater,2019,Cubic metres,6,Millions,0.0,
198826565,Latvia,Europe,Total gross abstraction non-freshwater,2020,Cubic metres,6,Millions,0.0,
489940587,Latvia,Europe,Total gross abstraction non-freshwater,2021,Cubic metres,6,Millions,0.0,
647535948,Slovenia,Europe,Total gross abstraction non-freshwater,2000,Cubic metres,6,Millions,0.0,Estimated value
708170888,Slovenia,Europe,Total gross abstraction non-freshwater,2001,Cubic metres,6,Millions,0.0,Estimated value
